"Year","EEZ","EZnm","EEZ.alt","Partgrp","Grp","Flag","Days","ALBc","BETc","YFTc"
2000,"AS","American Samoa","AS","American Samoa","US Zones","US",2914.639,626,21,86
2000,"AU","Australia","AU","Australia","FFA","AU",11515.067,375.621595,755.829425,1787.469562
2000,"CN","China","CN","Other","Other","JP",4.287,1.234053,0.056009,0.578973
2000,"FJ","Fiji","FJ","Fiji","FFA","FJ",8664.3,4885.492022,604.74773,2125.768697
2000,"FJ","Fiji","FJ","Fiji","FFA","TW",622,456.485,19.036,130.76
2000,"FJ","Fiji","FJ","Fiji","FFA","VU",4.17,8.961878,0.021168,0.341603
2000,"FM","FSM","FM","FSM","FFA","BZ",175,0,8.838,32.095
2000,"FM","FSM","FM","FSM","FFA","CN",5095,0.86,561.544,481.871
2000,"FM","FSM","FM","FSM","FFA","FM",4635.815,3.450972,861.439397,475.897693
2000,"FM","FSM","FM","FSM","FFA","JP",9576.967,132.150954,3713.35503,2176.164021
2000,"FM","FSM","FM","FSM","FFA","PW",132.748,2,36.127025,8.941764
2000,"FM","FSM","FM","FSM","FFA","TW",5069,1.504,698.31,662.484
2000,"H4","HS4","HS","High Seas","High Seas","KR",403.167,10.266,171.889,212.871
2000,"H5","HS5","HS","High Seas","High Seas","CN",29,0.152,1.865,1.394
2000,"H5","HS5","HS","High Seas","High Seas","JP",439.552,76.466283,176.25709,408.642944
2000,"H5","HS5","HS","High Seas","High Seas","KR",577.807,23.055,279.054,199.121
2000,"H5","HS5","HS","High Seas","High Seas","TW",90,35.812,36.822,22.902
2000,"HW","Hawaii","US","US Zones","US Zones","US",2840.368,164.061195,862.865684,187.08932
2000,"I1","Int1","HS","High Seas","High Seas","BZ",11,0,1.86,0.625
2000,"I1","Int1","HS","High Seas","High Seas","CN",90,0.115,9.45,4.268
2000,"I1","Int1","HS","High Seas","High Seas","FM",74,1.549028,17.495165,12.749725
2000,"I1","Int1","HS","High Seas","High Seas","JP",5932.874,26.535941,3255.715632,2021.691042
2000,"I1","Int1","HS","High Seas","High Seas","PW",43.103,0,14.155513,9.803594
2000,"I1","Int1","HS","High Seas","High Seas","TW",16368.229,0,2628.886436,3032.554
2000,"I2","Int2","HS","High Seas","High Seas","CN",178,0,19.211,17.863
2000,"I2","Int2","HS","High Seas","High Seas","FJ",7.915,4.994588,1.401679,1.019672
2000,"I2","Int2","HS","High Seas","High Seas","FM",22.726,0,3.834001,3.389082
2000,"I2","Int2","HS","High Seas","High Seas","JP",1346.755,435.510946,1128.832449,2824.150823
2000,"I2","Int2","HS","High Seas","High Seas","KR",171.646,4.078,82.408,71.45
2000,"I2","Int2","HS","High Seas","High Seas","SB",21.331,3.151163,11.806344,25.807782
2000,"I2","Int2","HS","High Seas","High Seas","TW",780,44.274,99.022,160.077
2000,"I3","Int3","HS","High Seas","High Seas","JP",5811.926,5699.511876,550.150068,1947.02184
2000,"I3","Int3","HS","High Seas","High Seas","TW",7014.955,0.09,1126.665615,1299.666
2000,"I4","Int4","HS","High Seas","High Seas","BZ",20.621,46.5765,0.1725,2.0715
2000,"I4","Int4","HS","High Seas","High Seas","CN",9254.418,0,273.261,711.4305
2000,"I4","Int4","HS","High Seas","High Seas","JP",7012.908,193.16658,4862.099832,5802.981039
2000,"I4","Int4","HS","High Seas","High Seas","KR",15415.779,246.693496,8099.0335,4248.466
2000,"I4","Int4","HS","High Seas","High Seas","TW",5603.106,0,511.734006,597.293008
2000,"I4","Int4","HS","High Seas","High Seas","US",11.477,0.406267,9.409871,2.66626
2000,"I5","Int5","HS","High Seas","High Seas","BZ",26,46.5765,0.1725,2.0715
2000,"I5","Int5","HS","High Seas","High Seas","CN",9254.418,0,273.261,711.4305
2000,"I5","Int5","HS","High Seas","High Seas","JP",3995.484,19.977197,4103.98088,1872.362852
2000,"I5","Int5","HS","High Seas","High Seas","KR",15415.779,246.693496,8099.0335,4248.466
2000,"I5","Int5","HS","High Seas","High Seas","PF",33.891,38.253845,4.981302,12.743592
2000,"I5","Int5","HS","High Seas","High Seas","TW",5603.106,0,511.734006,597.293008
2000,"I5","Int5","HS","High Seas","High Seas","US",3264.276,453.665745,1182.682385,354.985362
2000,"I6","Int6","HS","High Seas","High Seas","CN",21,16.556,0,0
2000,"I6","Int6","HS","High Seas","High Seas","JP",42002.972,22744.551122,7483.396892,3226.455125
2000,"I6","Int6","HS","High Seas","High Seas","TW",3183.272,5412.9348,627.6,2513.1
2000,"I6","Int6","HS","High Seas","High Seas","US",1178.466,73.507758,369.546405,72.957988
2000,"I7","Int7","HS","High Seas","High Seas","AU",219.815,5.378406,9.170575,11.530439
2000,"I7","Int7","HS","High Seas","High Seas","CN",2535.81,2028.648021,0,0
2000,"I7","Int7","HS","High Seas","High Seas","FJ",28.191,28.808447,2.151993,5.052165
2000,"I7","Int7","HS","High Seas","High Seas","JP",3586.675,1526.274122,525.153916,141.775292
2000,"I7","Int7","HS","High Seas","High Seas","KR",1,0,0.308,0.241
2000,"I7","Int7","HS","High Seas","High Seas","NC",5.083,0.676638,0.972182,0.182693
2000,"I7","Int7","HS","High Seas","High Seas","NZ",106.107,9.614089,11.110594,3.513619
